date,open,high,low,close
2023/1/12,14780.58,14813.31,14700.73,14731.64
2023/1/13,14923.05,14962.31,14822.15,14824.13
2023/1/16,14895.26,14960.92,14895.26,14927.01
2023/1/17,14922.34,14945.23,14884.78,14932.93
2023/1/30,15291.53,15493.82,15291.53,15493.82
2023/1/31,15419.21,15441.98,15265.2,15265.2
2023/2/2,15508.83,15602.09,15496.52,15595.16
2023/2/3,15591.95,15617.73,15504.03,15602.66
2023/2/6,15514.8,15514.8,15392.82,15392.82
2023/2/7,15376.12,15462.1,15363.65,15400.91
2023/2/8,15538.71,15631.22,15520.05,15618.17
2023/2/9,15590,15617.34,15553.84,15598.71
2023/2/10,15627.33,15628.3,15546.11,15586.65
2023/2/13,15564.76,15569.99,15465.56,15544.28
2023/2/14,15584.74,15669.63,15584.74,15654.48
2023/2/15,15497.67,15553.68,15388.85,15432.89
2023/2/16,15474.46,15585.48,15474.46,15550.5
2023/2/17,15503.75,15503.75,15418.43,15479.7
2023/2/20,15452.01,15575.32,15436.66,15551.23
2023/2/21,15535.64,15567.74,15496.73,15563
2023/2/22,15541.17,15541.17,15345.93,15418.77
2023/2/23,15463.46,15657.63,15463.46,15615.41
2023/2/24,15669.88,15717.96,15503.79,15503.79
2023/3/2,15580.28,15618.06,15492.37,15598.72
2023/3/3,15621.36,15713.42,15606.85,15608.42
2023/3/6,15675.28,15818.88,15675.28,15763.51
2023/3/7,15763.87,15879.16,15749.04,15857.89
2023/3/8,15819.18,15821.49,15740.98,15818.2
2023/3/9,15827.98,15878.75,15770.66,15770.66
2023/3/10,15729.29,15729.29,15488.71,15526.2
2023/3/13,15514.03,15571.17,15349.67,15560.49
2023/3/14,15517.74,15517.74,15348.12,15360.42
2023/3/15,15425.99,15526.73,15387.59,15387.59
2023/3/16,15334.25,15334.25,15186.74,15221.12
2023/3/17,15337.97,15452.96,15337.97,15452.96
2023/3/20,15454.75,15488.98,15399.07,15419.97
2023/3/21,15437.95,15547.97,15437.95,15513.45
2023/3/22,15535.17,15760.46,15535.17,15760.46
2023/3/23,15711.6,15882.75,15680.84,15863.95
2023/3/24,15869.84,15921.97,15845.99,15914.7
2023/3/27,15873.67,15902.06,15821.63,15830.31
2023/3/28,15790.7,15846.54,15685.59,15701.48
2023/3/29,15766.29,15811.2,15681.1,15769.76
2023/3/30,15824.65,15885.21,15791.75,15849.43
2023/3/31,15874.19,15951.8,15857.19,15868.06
2023/4/7,15856.19,15877.99,15811.19,15836.5
2023/4/10,15850.94,15919.76,15850.94,15876.17
2023/4/11,15886.46,15945.63,15838.1,15913.88
2023/4/12,15914.15,15944.32,15867.02,15932.97
2023/4/13,15888.63,15913.2,15800.42,15804.76
2023/4/14,15854.25,15973.82,15854.25,15929.43
2023/4/17,15934.64,15963.55,15894.77,15963.55
2023/4/18,15967.89,15967.89,15851.71,15869.44
2023/4/19,15874.65,15915.39,15756.75,15770.47
2023/4/20,15771.45,15804.38,15686.54,15707.52
2023/4/21,15776.54,15802.93,15592.96,15602.99
2023/4/24,15555.1,15643.86,15529.39,15626.87
2023/4/25,15606.83,15639.49,15353.22,15370.73
2023/4/26,15352.03,15398.4,15284.46,15374.63
